"filedate","tractid","countyfp10","totalfilings"
"01/16/2020","13121001800","121",7
"01/16/2020","13121002300","121",1
"01/16/2020","13121002400","121",1
"01/16/2020","13121002500","121",1
"01/16/2020","13121002900","121",1
"01/16/2020","13121003000","121",1
"01/16/2020","13121003100","121",1
"01/16/2020","13121003500","121",3
"01/16/2020","13121003600","121",2
"01/16/2020","13121003900","121",1
"01/16/2020","13121005700","121",5
"01/16/2020","13121006100","121",1
"01/16/2020","13121006200","121",1
"01/16/2020","13121006300","121",10
"01/16/2020","13121006700","121",6
"01/16/2020","13121007001","121",1
"01/16/2020","13121007002","121",5
"01/16/2020","13121007200","121",1
"01/16/2020","13121007300","121",7
"01/16/2020","13121007400","121",1
"01/16/2020","13121007603","121",6
"01/16/2020","13121007604","121",2
"01/16/2020","13121007704","121",16
"01/16/2020","13121007705","121",11
"01/16/2020","13121007802","121",9
"01/16/2020","13121007805","121",1
"01/16/2020","13121007808","121",4
"01/16/2020","13121007900","121",4
"01/16/2020","13121008102","121",7
"01/16/2020","13121008302","121",2
"01/16/2020","13121008500","121",1
"01/16/2020","13121008800","121",2
"01/16/2020","13121009502","121",2
"01/16/2020","13121009602","121",1
"01/16/2020","13121009603","121",5
"01/16/2020","13121010002","121",8
"01/16/2020","13121010110","121",3
"01/16/2020","13121010114","121",1
"01/16/2020","13121010118","121",11
"01/16/2020","13121010119","121",6
"01/16/2020","13121010122","121",7
"01/16/2020","13121010205","121",1
"01/16/2020","13121010208","121",6
"01/16/2020","13121010209","121",12
"01/16/2020","13121010210","121",7
"01/16/2020","13121010301","121",3
"01/16/2020","13121010303","121",17
"01/16/2020","13121010304","121",1
"01/16/2020","13121010507","121",2
"01/16/2020","13121010510","121",7
"01/16/2020","13121010513","121",1
"01/16/2020","13121010514","121",14
"01/16/2020","13121010515","121",2
"01/16/2020","13121010516","121",3
"01/16/2020","13121010603","121",6
"01/16/2020","13121010604","121",1
"01/16/2020","13121010800","121",1
"01/16/2020","13121011303","121",25
"01/16/2020","13121011305","121",13
"01/16/2020","13121011306","121",13
"01/16/2020","13121011414","121",1
"01/16/2020","13121011420","121",9
"01/16/2020","13121011611","121",1
"01/16/2020","13121011614","121",8
"01/16/2020","13121011617","121",1
"01/16/2020","13121011620","121",10
"01/16/2020","13121011623","121",1
"01/16/2020","13121011626","121",7
"01/16/2020","13121011800","121",61
"01/16/2020","13121012000","121",1
"01/16/2020","13121012300","121",1
"01/17/2020","13121000500","121",1
"01/17/2020","13121001001","121",1
"01/17/2020","13121001002","121",1
"01/17/2020","13121001201","121",1
"01/17/2020","13121001202","121",5
"01/17/2020","13121001500","121",1
"01/17/2020","13121001900","121",1
"01/17/2020","13121003500","121",5
"01/17/2020","13121003900","121",5
"01/17/2020","13121004200","121",9
"01/17/2020","13121006100","121",1
"01/17/2020","13121006500","121",1
"01/17/2020","13121006700","121",2
"01/17/2020","13121007001","121",1
"01/17/2020","13121007002","121",1
"01/17/2020","13121007200","121",1
"01/17/2020","13121007300","121",8
"01/17/2020","13121007400","121",1
"01/17/2020","13121007500","121",7
"01/17/2020","13121007604","121",2
"01/17/2020","13121007704","121",22
"01/17/2020","13121007706","121",2
"01/17/2020","13121007805","121",2
"01/17/2020","13121007806","121",1
"01/17/2020","13121007807","121",1
"01/17/2020","13121008000","121",2
"01/17/2020","13121008102","121",1
"01/17/2020","13121008400","121",2
"01/17/2020","13121008601","121",3
"01/17/2020","13121008902","121",9
"01/17/2020","13121008904","121",1
"01/17/2020","13121009000","121",1
"01/17/2020","13121009200","121",1
"01/17/2020","13121009402","121",1
"01/17/2020","13121009501","121",1
"01/17/2020","13121009602","121",3
"01/17/2020","13121009603","121",1
